Datetime,Tweet Id,Text,Username
2022-11-03 23:44:13+00:00,1588316146570100738,"@TimRyan Vote for @TimRyan 
#TimRyan for #Ohio 
#VoteBlueIn22",MJResister
2022-11-03 23:43:56+00:00,1588316077263814656,"@TimRyan You should show your buddy's boo-boo foot to the widow of David Dorn. He was executed in the street by the rioters your party supported. Get out of Ohio when you lose. Scumbag #TimRyan

https://t.co/zjehyAiDj4",GBoy1982
2022-11-03 23:13:29+00:00,1588308411816751104,"And your party raised bail money for, encouraged, and defended the people that rioted allover the country for an entire summer. Billions in property damage, thousands injured, and dozens killed. You're an embarrassment to Howland, Ohio. Hypocrite #TimRyan https://t.co/s520rVv0pl",GBoy1982
2022-11-03 23:06:29+00:00,1588306649797705728,#TimRyan #VoteBlueIn2022 https://t.co/8olMWQQ3NH,asixtyschick
2022-11-03 23:04:18+00:00,1588306100700741632,@crooksandliars He's one of the few who can. #VoteBlueForDemocracy #TimRyan,L_Shumate7
2022-11-03 22:51:52+00:00,1588302973175676928,"@RepTimRyan = lies!
#TimRyan wants your money!",MSchubert57
2022-11-03 22:44:35+00:00,1588301139145261056,"Join the team to elect Democrat Tim Ryan! https://t.co/nuAdLTtqFF 

#TimRyan #BlueWave2022 #VoteBlueToSaveAmerica #VoteBlueIn2022",Ellieattheplaza
2022-11-03 22:29:53+00:00,1588297438653485056,#TimRyan for #Ohio #VoteForTimRyan https://t.co/rc0h7jPWoH,TweeterDumb4
2022-11-03 22:11:23+00:00,1588292784116871169,@kylegriffin1 I added to that tally about 30 minutes ago #BlueTsunami #BlueWave2022 #TimRyan #DemocratsDeliverDemocracy,JoftheJungle
2022-11-03 22:10:11+00:00,1588292481183264769,"Grassroots Dems can help. GOTV for #TimRyan

Democrats Should Do More to Help Tim Ryan in Ohio https://t.co/VeHMsefUek",exinkygal
2022-11-03 21:53:01+00:00,1588288160781385728,#TimRyan speaking the truth to FOX. #ohioElection https://t.co/C5ekAcMPBw,TinderandBloom
2022-11-03 21:12:13+00:00,1588277892668346368,"Please DONATE to 
#TimRYAN so we can FLIP OHIO BLUE! https://t.co/E0649nAKyy",redhed67
2022-11-03 20:45:48+00:00,1588271246311149571,"#TimRyan #POTUS2024
@TimRyan
https://t.co/mqTxUFPaNm",ZellnerCrimeLaw
2022-11-03 20:45:38+00:00,1588271203659444224,"@JDVance1 Take a walk, Nazi.
#TimRyan 
#VoteBlueToSaveDemocracy",therealkokopup
2022-11-03 20:03:58+00:00,1588260720126218242,"Trump endorsement not enough

Here in Ohio,@JDVance1 and @MadisonGesiotto want to go to Washington based on a fraction of the merit of their opponents. What can we honestly expect them to accomplish...when they’ve done literally none...thus far? #OHSen #OH13 #TimRyan #EmiliaSykes",OHDemsPressAsst
2022-11-03 19:44:25+00:00,1588255798844702721,"Did you know #TimRyan of #Ohio
Supports gender reassignment
Surgery for...illegal aliens and prisoners",adviceFB2
2022-11-03 18:53:38+00:00,1588243018284380160,"Ive been hesitant to go out and vote for all of my time living in the US, and honestly thats disappointing. If your country gives you a voice, no matter how small, you should use it. #FlipOhioBlue #TimRyan #VoteBlueIn2022",KhalidAllasi
2022-11-03 17:54:32+00:00,1588228147136397312,@DonaldJTrumpJr #TimRyan is better than J D Vance any day!  💙 At least #TimRyanWontTakeSocialSecurityAway 💙 #VoteBlueToProtectSeniors 💙 https://t.co/HCRPzWJ60W,kellyz713
2022-11-03 17:20:23+00:00,1588219550956404738,"Go #TimRyan Ohio vote for the Senator who will work for you! #TimRyan 
https://t.co/Au9umTA1Le",Hilltop__Leader
2022-11-03 17:07:19+00:00,1588216265407352832,"@irontravisc @GOP 🚥Not true...“I don’t support cuts to social security or Medicare and think privatizing social security is a bad idea,” Vance told HuffPost via email, in response to questions about his past advocacy for cutting both programs. 7.13.22 JD Vance #OHSen #LyinTimRyan #TimRyan #Ohio",_PaulWasilewski
2022-11-03 16:01:12+00:00,1588199623662997504,"I’m just gonna say it. Please #vote like your rights depend on it, because they literally still do. So how’s about we flip some Senate seats blue?

#VoteBlueForDemocracy #VoteBlueIn2022 #VoteBlue #TimRyan #TimRyan4Ohio #ValDemmings #RaphaelWarnock #JohnFetterman #BlueWave2022",benjjedi
2022-11-03 15:42:27+00:00,1588194905972776960,"@dscc #Ohio don’t fall for radical extremist JD Vance 

Tim Ryan for #OH

#TimRyan4Ohio #TimRyan #VoteBlueDownBallot",MooPoint91
2022-11-03 15:40:22+00:00,1588194383362490369,My cat #Milo bows before @TimRyan . Can we stop for a moment to congratulate Tim for his perfectly run campaign? Can we all agree that the only person on the planet who could turn Ohio blue is #TimRyan? Let’s put him over the finish line! Milo endorses @TimRyan https://t.co/lFfJ0y4JCE,Momof4Cats4
2022-11-03 14:54:06+00:00,1588182736765784064,"“We shouldn’t turn the Pelosi attack into a political issue!” 
(Turns Pelosi attack into a political issue in the next breath)
#TimRyan4Ohio #TimRyan #UnartfulSpin https://t.co/WOXPIu0mWc",TheSnarkTank99
2022-11-03 14:24:03+00:00,1588175176830795778,"This is the image that Tim Ryan is putting out vs the image that I created so people can see how candidates create bias with imaging.

#TimRyan4Ohio #TimRyan @TimRyan https://t.co/ZXzZT2ahfK",strngrfstrhntr
2022-11-03 13:54:51+00:00,1588167829605748737,"@RepSeanMaloney Why on Earth is the Democratic Party withholding funds from my favorite congressman @RepTimRyan??? 
We need #TimRyan in the Senate
instead of this trump boot-licker, #RonJohnson!!
In the meantime, Johnson receives massive donations from the #NRA!!!
@DNCWarRoom @RepSeanMaloney https://t.co/gmkmtA3fka",NoelCampbell108
2022-11-03 13:54:26+00:00,1588167722721869825,"@RepSeanMaloney Why on Earth is the Democratic Party withholding funds from my favorite congressman @RepTimRyan??? 
We need #TimRyan in the Senate
instead of this trump boot-licker, #RonJohnson!!
In the meantime, Johnson receives massive donations from the #NRA!!!
@DNCWarRoom @RepSeanMaloney https://t.co/31pxcgJotC",NoelCampbell108
2022-11-03 13:52:31+00:00,1588167240293048320,"@RepTimRyan @SpeakerPelosi @RepTomEmmer actually pretended to fire at @SpeakerPelosi in an advertisement. And @RonJohnson takes massive donations from the #NRA.
That's why #TimRyan needs to take #RonJohnson's place in the senate! https://t.co/7aS4IZEx9U",NoelCampbell108
2022-11-03 13:47:17+00:00,1588165923877404673,"@RepTimRyan Why on Earth is the Democratic Party withholding funds from my favorite congressman @RepTimRyan??? 
We need #TimRyan in the Senate
instead of this trump boot-licker, #RonJohnson!!
@DNCWarRoom @RepSeanMaloney https://t.co/eRChO7FaxM",NoelCampbell108
2022-11-03 13:45:01+00:00,1588165354773254145,"@harrisonjaime @JoeBiden Why on Earth is the Democratic Party withholding funds from my favorite congressman @RepTimRyan??? 
We need #TimRyan in the Senate
instead of this trump boot-licker, #RonJohnson!!
@DNCWarRoom @RepSeanMaloney https://t.co/jaI9FqOjjH",NoelCampbell108
2022-11-03 13:43:58+00:00,1588165088124477440,#MarcyKaptur #TimRyan👇 https://t.co/LQyx7Lb9ae,pamp00vey
2022-11-03 13:18:52+00:00,1588158774178717696,"If you love inflation, vote #MarcyKaptur and #TimRyan 
#Ohio https://t.co/A8vu48PvQS",pamp00vey
2022-11-03 12:47:01+00:00,1588150758578454528,@townhallcom I dunno..but she endorsed #TimRyan...and that's a scary couple...#ohio #OHSen,_PaulWasilewski
2022-11-03 12:46:25+00:00,1588150604253528064,CNN’s #PoppyHarlow Invites #TimRyan to Rip Biden Speech: ‘Was That The Wrong Argument?’ https://t.co/5rJf8HM6IY https://t.co/shKyP2IlfR,Knewz_Currently
2022-11-03 12:25:29+00:00,1588145336962383872,"@LionHearted76 @AnnaApp91838450 #TimRyan is a vile snake. 
A prolific liar like the guy #Biden who he didn’t want to campaign with him but votes lockstep and agrees 100% with him",lillymckim
2022-11-03 11:43:38+00:00,1588134804301676544,#TimRyan wants to use Ohio tax payer's money for gender mutilation surgeries https://t.co/M4kshIMxIH,pamp00vey
2022-11-03 11:32:25+00:00,1588131984794058755,#timryan is going to lose.  @ReverendWarnock is going to lose.  @JohnFetterman is going to lose.  @CortezMasto is going to lose. #maggiehassan is going to lose.  #pattiemurray is going to lose.,Capn_contrvsy
2022-11-03 11:28:49+00:00,1588131075603267584,"🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
#Ohio VOTERS

#TimRyan https://t.co/NoEBxYRKwy",TXSpiritSister
2022-11-03 10:54:44+00:00,1588122500692598790,"@JulieJulesLam @jules1327 #Ohio 
#OHSen 
#TimRyan 
#ohsendebate 
#TimRyan4Ohio 
#TimRyanForSenate",demipal
2022-11-03 10:34:36+00:00,1588117431590985731,"Democratic candidate for Ohio Senate seaf says he advocates for schools while supporting school closures. 
https://t.co/ExHrmkeQsa #ohio #news #timryan #schoolclosures",HannahPoling1
2022-11-03 10:30:42+00:00,1588116450874531841,It's much easier to win over an audience if you have facts on your side. The Dems have the facts. They need to say them more often! #TimRyan https://t.co/njIxN22QeE,egheitasean
2022-11-03 10:19:28+00:00,1588113624974893056,@JDVance1 Don’t worry about it J.D. you’ll have the chance to write another short book about it while @TimRyan serving Ohio as it’s next senator. #TimRyan #VoteBlueOhio,GrizzFrix
2022-11-03 09:01:19+00:00,1588093956340039680,Vote for #TimRyan for Senate! https://t.co/9V1BJ4wziN,MdKathi
2022-11-03 08:42:46+00:00,1588089290130685952,@TimRyan @PalmerReport I freaking LOVE #TimRyan. Go get ‘em #ohio!!! ✊🏼🗳💙,VivianActivist
