0,label,score,Datetime,Text,Username,Hashtag
"{'label': 'Neutral', 'score': 0.8795298337936401}",Neutral,0.8795298337936401,2022-04-10 18:46:59+00:00,"#TimRyan
@TimRyan https://t.co/xG8T1cztbF",KaysGramma,TimRyan
"{'label': 'Negative', 'score': 0.5122110843658447}",Negative,0.5122110843658447,2022-04-10 19:28:19+00:00,"Dem leadership better be putting it all behind @ReverendWarnock GA, #TimRyan in OH and #MarkKelly in AZ.  Dems need these Senate seats and we don't need who the GOP wants to send to Congress.  No damn excuses.  Get it done!",calatayud7,TimRyan
"{'label': 'Neutral', 'score': 0.6774628758430481}",Neutral,0.6774628758430481,2022-04-11 14:17:16+00:00,"Paging @TimRyan did you see this? 

Run it everywhere. Talk about it everywhere. Talk about it some more. 

Your opponent literally said that. 

You can win this!!!

#TimRyan https://t.co/HkMF830IDg",DewOfHeaven2,TimRyan
"{'label': 'Positive', 'score': 0.9183974862098694}",Positive,0.9183974862098694,2022-04-11 16:08:08+00:00,"@NoLieWithBTC Glad he announced it! The GQP can't stop doing themselves in...
We've got people
#TimRyan
#SherrodBrown
#NanWhaley",dinosaursindc,TimRyan
"{'label': 'Positive', 'score': 0.9139376878738403}",Positive,0.9139376878738403,2022-04-12 13:35:47+00:00,YESSS! #TimRyan #OHSen https://t.co/8QSgpb1ajz,snoozeq1,TimRyan
"{'label': 'Negative', 'score': 0.8682132959365845}",Negative,0.8682132959365845,2022-04-12 17:02:04+00:00,He needs help! his PR people are going about this wrong! @SherrodBrown @SenSherrodBrown @ConnieSchultz @RepTimRyan @DavidPepper @OHDems @TrumbullForTim @TrumbullDems Saying CINA in his ads are turning off voters! Especially independents that he really needs to win Ohio #TimRyan https://t.co/CicLeh5hWu,PatriciaKellogg,TimRyan
"{'label': 'Neutral', 'score': 0.622422456741333}",Neutral,0.622422456741333,2022-04-13 05:53:05+00:00,"ELECT #TimRYAN!!

#FlipOhioBlue!! https://t.co/hmJsBXqhEH",redhed67,TimRyan
"{'label': 'Neutral', 'score': 0.7750756144523621}",Neutral,0.7750756144523621,2022-04-13 18:57:58+00:00,#Ohio #TimRyan https://t.co/nen7hUQPEo,genevieveisgg,TimRyan
"{'label': 'Neutral', 'score': 0.6348282098770142}",Neutral,0.6348282098770142,2022-04-13 21:50:36+00:00,We need Ohio! #TimRyan #Ohio #VoteBlue https://t.co/GWFg8Ii2Qc,DermonAshley,TimRyan
"{'label': 'Neutral', 'score': 0.9373472332954407}",Neutral,0.9373472332954407,2022-04-13 22:56:01+00:00,#TimRyan for the US Senate. https://t.co/dKmzYdwixP,TrotDarrow,TimRyan
"{'label': 'Neutral', 'score': 0.6598435044288635}",Neutral,0.6598435044288635,2022-04-14 01:12:48+00:00,"ELECT #TimRYAN!!

PROTECT DEMOCRACY. https://t.co/hXNlu6MSEZ",redhed67,TimRyan
"{'label': 'Neutral', 'score': 0.7815443873405457}",Neutral,0.7815443873405457,2022-04-14 08:48:43+00:00,"ELECT 
#TimRYAN!!

#SensibleBLUE https://t.co/pSHRc7gL74",redhed67,TimRyan
"{'label': 'Positive', 'score': 0.6847653388977051}",Positive,0.6847653388977051,2022-04-14 11:46:04+00:00,Just a daily reminder #Ohio you can have nice things too if your businesses pay taxes.  Time to build back NE Ohio.    #timryan https://t.co/4fElg85E39,kforbs,TimRyan
"{'label': 'Neutral', 'score': 0.6924160122871399}",Neutral,0.6924160122871399,2022-04-14 18:42:07+00:00,Be a #TimRyan not a JD Vance. https://t.co/iGkVHPCQ8d https://t.co/MhbnVgPpHC,monicasweet,TimRyan
"{'label': 'Positive', 'score': 0.6846293210983276}",Positive,0.6846293210983276,2022-04-14 19:22:59+00:00,🔥 🔥 🔥 #OHSen #TimRyan https://t.co/A09bdnWvVe,snoozeq1,TimRyan
"{'label': 'Negative', 'score': 0.5336716771125793}",Negative,0.5336716771125793,2022-04-14 20:34:40+00:00,"#TimRyan 
#VoteBlueIn2022 https://t.co/nmTcjzYVnI",WhisperOfWhimsy,TimRyan
"{'label': 'Positive', 'score': 0.5034295916557312}",Positive,0.5034295916557312,2022-04-15 00:00:06+00:00,"ELECT #TimRYAN!!

#OhioGoBlue! https://t.co/ZoDojFdV9Y",CissyBGood67,TimRyan
"{'label': 'Neutral', 'score': 0.8490464687347412}",Neutral,0.8490464687347412,2022-04-15 00:09:10+00:00,#TimRyan needed for #Ohio https://t.co/ZpsrI4Zvpp,CJCeruleanlady,TimRyan
"{'label': 'Neutral', 'score': 0.6948006749153137}",Neutral,0.6948006749153137,2022-04-15 00:22:37+00:00,"So #ohio #OhioState think about YOUR interests and who’s got your back! #VoteBlueIn2022 #VoteBlueToSaveDemocracy #TimRyan
🌰💯💯💯🅾️
🌊🌊🌊🌊🗳🗳🗳🗳⬇️⬇️⬇️ https://t.co/9jMlAElpov",GoodNews_Please,TimRyan
"{'label': 'Neutral', 'score': 0.521034836769104}",Neutral,0.521034836769104,2022-04-15 02:25:41+00:00,"@Stillsmack @TimRyan Nope, still has millions $ in bank raised from grassroots. Going to need a lot of $$$ to go up against corrupt OH GOP. 

Wasn’t it great Tim used all of Manchin PAC money to run digital ads against Manchin. Brilliant. Exactly who you want as a Senator. 

#timryan",lbp2345,TimRyan
"{'label': 'Neutral', 'score': 0.8995354771614075}",Neutral,0.8995354771614075,2022-04-15 02:37:28+00:00,This. #TimRyan https://t.co/RlvNTV4ABg,MagZoxBrownArt,TimRyan
"{'label': 'Negative', 'score': 0.5473166108131409}",Negative,0.5473166108131409,2022-04-15 04:06:38+00:00,"#Ohio you know what  #TimRyan will do when he is Senator? He will make the Child Tax Credit permanent!!! 
You know what JDVance will do? Take your health coverage and end social security. #VoteBlueToSaveAmerica 
#FreshVotesBlue https://t.co/WYsQUUaaAO",momsresistnow,TimRyan
"{'label': 'Neutral', 'score': 0.8023166656494141}",Neutral,0.8023166656494141,2022-04-15 07:02:30+00:00,#TimRyanForOhio #TimRyan #OhioSenate #VoteBlue #Ohio #GetOutTheBlueVote2022 https://t.co/nCpFWUh6ws,Lol53112995,TimRyan
"{'label': 'Neutral', 'score': 0.856568455696106}",Neutral,0.856568455696106,2022-04-15 20:17:32+00:00,#TimRyan #Ohio #Cleveland #Cincinnati #Columbus #VoteBlueIn2022 #Resisters #VetsResist https://t.co/Q41pB9WqVZ,lovemoz1wtp,TimRyan
"{'label': 'Neutral', 'score': 0.4896763861179352}",Neutral,0.4896763861179352,2022-04-15 21:03:48+00:00,"@maggieNYT @TimRyan 
#TIMRYAN
#VoteBlueToSaveDemocracy",bobbie2six,TimRyan
"{'label': 'Neutral', 'score': 0.72529536485672}",Neutral,0.72529536485672,2022-04-15 21:52:24+00:00,#VoteBlue #OHIO #TimRyan @RepTimRyan #VoteBlueToSaveDemocracy #VoteBlueToSaveAmerica,bobcatt333,TimRyan
"{'label': 'Neutral', 'score': 0.8995721340179443}",Neutral,0.8995721340179443,2022-04-15 23:04:20+00:00,#TimRyan https://t.co/2NKXXDffVc,midasmightyBJ,TimRyan
"{'label': 'Neutral', 'score': 0.931308925151825}",Neutral,0.931308925151825,2022-04-15 23:07:29+00:00,@grantstern @JDVance1 #TimRyan,lilyen311,TimRyan
"{'label': 'Positive', 'score': 0.5126850605010986}",Positive,0.5126850605010986,2022-04-15 23:09:14+00:00,@RonFilipkowski #TimRyan💙,needcoffee46355,TimRyan
"{'label': 'Negative', 'score': 0.8926114439964294}",Negative,0.8926114439964294,2022-04-15 23:46:03+00:00,"@FrankLuntz @JoshMandelOhio @JDVance1 Vance and Josh are in a 2 way tie for worst of the worst. Their weekly, sometimes daily escapades here in Ohio are cringe worthy. Both are walking disasters of Madison Cawthorn quality. 

I hope Ohio votes #TimRyan",Dovewoman1,TimRyan
"{'label': 'Negative', 'score': 0.7072089314460754}",Negative,0.7072089314460754,2022-04-16 00:47:04+00:00,Don’t just tweet about #TFG endorsing a racist fascist for OH Governor-DONATE to #TimRyan Join the team to elect Democrat Tim Ryan! https://t.co/97hIHl45Bj,TashaCNS,TimRyan
"{'label': 'Neutral', 'score': 0.8152799010276794}",Neutral,0.8152799010276794,2022-04-16 01:20:53+00:00,@Politics_PR @leahkrevit Promise? #TimRyan,ErinThomasRev,TimRyan
